permalink,published_at,_date-modified,title,description,body,,,,,image,
229,2007-03-31 11:34:33,2007-04-05 18:47:01,Cherokee Commission 1889: Pulverizing Indian Country,"After dispossessions - east and west - Indians were shoe-horned into ""Indian Country."" The next step was to legally atomize it into individual saleable units and destroy collective landholding as the basis of tribal life.","Authorized by Congress in 1889, the Cherokee Commission was formed to negotiate the purchase of huge areas of land from the Cherokees, Ioways, Pawnees, Poncas, Tonakawas, Wichitas, Cheyennes, Arapahos, Sac and Fox, and other tribes in Indian Territory. Some humanitarian reformers argued that dissolving tribal holdings into individual private properties would help ""civilize"" the Indians and speed their assimilation into American culture. Whatever the hoped-for effects, the coerced sales opened to white settlement the vast ""unused"" expanses of land that had been held communally by the tribes.

Often called the Jerome Commission after its leading negotiator, David H. Jerome, the commission intimidated Indians into first accepting allotment in severalty and then selling to the United States, at price, the fifteen million acres declared surplus after allotment. This land then went to white settlers, making possible the statehood of Oklahoma at the expense of the Indian tribes who had held claim to it. 

William Thomas Hagan
Summary of his <i>Taking Indian Lands</i>
2003",,,,,NULL,
226,2007-03-25 20:11:21,2007-03-25 20:15:19,The Spirit of Manifest Destiny,,"Painter John Gast's famous 1872 image heralds the synergy of ""westering"" forces - pioneers, farmers, stage coaches, railroads and telegraphs - that are sweeping the Indians and Buffalo from the inexorable path of Progress. The Adair's would follow suit within two years.",,,,,226_t.jpg,
227,2007-03-27 20:40:18,2007-03-27 20:47:30,Cows in Sunset,,Buffalo was the perfect species for the Great Plains grasslands and their well-being. Then Cattle became king and has regressively devoured its habitat like the proverbial plough that broke the plains. Their eclipse as a way of life is poignantly rendered by the painter. (Painting by Krista Wallhagen),,,,,227_t.jpg,
228,2007-03-29 06:31:23,2007-03-29 06:34:32,"""Enormous Donâ€™t Express It â€“ The Wordâ€™s Too Tame""","In 1873, the year before the Adair's went West, Mark Twain published his amazing <i>The Gilded Age</i>, and captured the tone of inevitable private abundance at the core of the Western project...","June 18 —

""Do you see these papers? Well, they are evidence that I have taken up Seventy-five Thousand Acres of Land in this county--think what an enormous fortune it will be some day! Why, Nancy, enormous don't express it--the word's too tame! I tell you, Nancy--"" 

""For goodness sake, Si --"" 

“Wait, Nancy, wait—let me finish—I’ve been secretly boiling and fuming with this grand inspiration for weeks, and I must talk or I’ll burst! I haven’t whispered to a soul—not a word—have had my countenance under lock and key, for fear it might drop something that would tell even these animals here how to discern the gold mine that’s glaring under their noses. Now all that is necessary to hold this land and keep it in the family is to pay the trifling taxes on it yearly—five or ten dollars—the whole tract would not sell for over a third of a cent an acre now, but some day people will be glad to get it for twenty dollars, fifty dollars, a hundred dollars an acre! What should you say to” [here he dropped his voice to a whisper and looked anxiously around to see that there were no eavesdroppers,] “a thousand dollars an acre!

“Well you may open your eyes and stare! But it’s so. You and I may not see the day, but they’ll see it. Mind I tell you, they’ll see it. Nancy, you’ve heard of steamboats, and may be you believed in them—of course you did. You’ve heard these cattle here scoff at them and call them lies and humbugs,—but they’re not lies and humbugs, they’re a reality and they’re going to be a more wonderful thing some day than they are now. They’re going to make a revolution in this world’s affairs that will make men dizzy to contemplate. I’ve been watching—I’ve been watching while some people slept, and I know what’s coming.

“Even you and I will see the day that steamboats will come up that little Turkey river to within twenty miles of this land of ours—and in high water they’ll come right to it! And this is not all, Nancy—it isn’t even half! There’s a bigger wonder—the railroad! These worms here have never even heard of it—and when they do they’ll not believe in it. But it’s another fact. Coaches that fly over the ground twenty miles an hour—heavens and earth, think of that, Nancy! Twenty miles an hour. It makes a man’s brain whirl. Some day, when you and I are in our graves, there’ll be a railroad stretching hundreds of miles—all the way down from the cities of the Northern States to New Orleans—and its got to run within thirty miles of this land—may be even touch a corner of it. Well, do you know, they’ve quit burning wood in some places in the Eastern States? And what do you suppose they burn? Coal!” [He bent over and whispered again:] “There’s whole worlds of it on this land! You know that black stuff that crops out of the bank of the branch?—well, that’s it. You’ve taken it for rocks; so has every body here; and they’ve built little dams and such things with it. One man was going to build a chimney out of it. Nancy I expect I turned as white as a sheet! Why, it might have caught fire and told everything. I showed him it was too crumbly. Then he was going to build it of copper ore—splendid yellow forty-per-cent. ore! There’s fortunes upon fortunes of copper ore on our land! It scared me to death, the idea of this fool starting a smelting furnace in his house without knowing it, and getting his dull eyes opened. And then he was going to build it of iron ore! There’s mountains of iron ore here, Nancy—whole mountains of it. I wouldn’t take any chances. I just stuck by him—I haunted him—I never let him alone till he built it of mud and sticks like all the rest of the chimneys in this dismal country. Pine forests, wheat land, corn land, iron, copper, coal—wait till the railroads come, and the steamboats! We’ll never see the day, Nancy—never in the world—never, never, never, child. We’ve got to drag along, drag along, and eat crusts in toil and poverty, all hopeless and forlorn—but they’ll ride in coaches, Nancy! They’ll live like the princes of the earth; they’ll be courted and worshiped; their names will be known from ocean to ocean! Ah, well-a-day! Will they ever come back here, on the railroad and the steamboat, and say ‘This one little spot shall not be touched—this hovel shall be sacred—for here our father and our mother suffered for us, thought for us, laid the foundations of our future as solid as the hills!’ ”

Mark Twain
<i>The Gilded Age</i>
1873",,,,,NULL,
10,2006-11-27 18:38:25,2007-04-16 10:44:11,,,"<div id=""homehead""><h2><b>A  B O N A N Z A  O F  O N E' S  O W N</b></h2></div><div style=""text-align:center""><span class=""sitefor"">For Quanah Parker & Satanta</span></div><span class=""hiddentag"">Hidden in Plain Sight...</span><div class=""brakeitup""></div><hr style=""margin-top:0px;padding-top:0px;margin-bottom:10px;padding-bottom:0px;"" />America’s <i>first</i> Gilded Age rises from the brutal Depression of 1873-1879. Just then, two wealthy Victorians - Ireland’s John George Adair and his American wife, Cornelia Wadsworth Ritchie – set sail from Ireland to NY, to begin their Wild West safari. Adair burns for a buffalo trophy, before it’s <i>too late</i>. And lo, in the summer of 1874, they head west under army escort, through a warp between 2 huge events. To their north: Gen. George Armstrong Custer ends his grand Gold Expedition into the Lakota’s sacred Paha Sapa, the Black Hills of Dakota. To their south: Col. Ranald “Bad Hand” Mackenzie spearheads the Red River (Buffalo) War against Commanche, Kiowa and Cheyenne bands who are rejecting the Reservation to save their buffalo and lifeways from destruction. 

Adair fails to bag his trophy, but lands a far better catch -- Charlie Goodnight, a legendary trail blazer gone bust in the Depression. In the wake of America's Centennial and backed by Adair's money, they launch the real “Bonanza” – the Texas Panhandle's founding Cattle Empire. And lo, the vast JA (John Adair) Ranch would rise in the Palo Duro, America’s 2nd biggest canyon. Bordering the Staked Plains, it's set where Indians last tasted freedom. The JA's stunning growth will make Goodnight a Hall of Fame cowboy and John George Adair the world’s biggest Irish-<i>born</i> land owner. 

These traces remain, hidden in plain sight:",,,,,NULL,
185,2007-03-07 08:03:48,2007-03-29 23:10:04,Cornelia's Credo,"""So every time has its own special joys, and the great thing is to miss as little as possible, and to share as much.""","I think it may be interesting to compare what was done in 1874 with what will be done by the time the children are able to travel. No doubt they will do their journeys by air, and do many, many things that I have not been able to do; but they can never see the prairies of America in their wild uncivilised state, or hunt buffalo over them, nor can they pow-wow with the Red Indians in a camp on the Platte River. So every time has its own special joys, and the great thing is to miss as little as possible, and to share as much.

Cornelia Adair
<i>My Diary</i>
1874",,,,,NULL,
100,2007-01-13 23:07:25,2007-01-16 19:10:56,Buffalo Wars,,"By 1874, the year of the Adair's western safari, the industrial pace of the buffalo slaughter posed their extinction. As demand back East escalated and expert hunters descended en masse, this imperiled all Plains Indian societies dependent on the herds. Fully aware of these predations - especially the accumulation and fire sale of hides - many Commanche, Kiowa and Cheyenne bands bolted from ""their"" Oklahoma/""Indian Territory"" reservations. The Army was soon dispatched under commanders like Colonels Nelson A. Miles and Ranald ""Bad Hand"" Mackenzie to force them back.",,,,,100_t.jpg,
101,2007-01-15 19:47:29,2007-03-29 23:02:15,Hardships,"On September 28, 1874, Mrs. Adair writes this piqued diary entry. Her travel snafus come on a day, when, to the south, ""Bad Hand"" Mackenzie's troops surprise the Indians and drive them from Palo Duro forever, their last free home on the Southern Plains...","September 28 - We were to leave early this morning but the steamboats are very irregular and ours did not arrive till midday, and then we were told in would not leave until evening, so we resigned ourselves to seeing the lions of the town, only, unfortunately, there were no lions to see. Every one of these new Western towns is exactly like the others... St. Paul was rather famous for its fur trade from the North,and I saw some beautiful skins of sliver fox, but the trade has diminished. Mr. Blackmore got some interesting Indian relics and a beautiful piece of bead-work. The air here is deliciously pure and clear, and geat numbers of cosumptives come here from the Eastern States, even though the winters are so very severe. We have just heard that the steamboat will not leave until the morning.

Cornelia Adair
<i>My Diary</i>
September 28, 1874",,,,,NULL,
102,2007-01-15 20:02:56,2007-04-17 14:04:20,Multimedia Lectures Available...,"The creator of StakedPlains.com, Dr. Robert Spiegelman, offers powerful and informed presentations to groups of all ages and backgrounds on the dramatic history and meanings of this epic Old West/Native American saga, both then and now. It features the Adair's, Charlie Goodnight, Billy the Kid, the Red River War, Quanah Parker, Satanta and Palo Duro Canyon. (Spiegelman has been named to the highly-regarded <a href=""http://www.nyhumanities.org/speakers/speaker.php?speaker_id=355"" title=""Speaker's list"" target=""_blank""> Speaker's List</a> of the NY Council for the Humanities.) So please use the <a href=""http://StakedPlains.com/contact/"" title=""Contact"" target=""_blank""><b>Contact</b></a> page on this website for further inquiries or suggestions.",,,,,,NULL,
105,2007-01-15 20:55:14,2007-03-29 23:03:27,What the Indians Tell the Adair's,"In early October 1874, the Adair's meet formally with a band of starving Ogalala Sioux. The couple asks permission to follow behind, so that John can watch how they hunt and bag his own trophy. The Indians' reply is more than they bargained for...","""It makes my heart feel glad to see a lot of big men sitting down with us. I will now tell you something. Look at all my people and tell my Great Father that we had nothing to eat at the Agency, and that we have come here to hunt buffalo. We have always done so, and shall continue to do so as long as buffalo exist.

""You tell me that the Whites are good to our people. But when I look at my children I don't like to see them starving . We love this country, and we cannot leave it so long as the buffalo are here. The Whites like their country. We do the same and do not want to get rid of it.

""Tell the Great Father to stop the white men from killing the buffalo only for the sake of their hides. So long as there were any buffalo left we were told we might kill them.

""This is all I have to say.""

Fire Thunder (Ogalala Sioux)
October 8, 1874 
On the South Platte River",,,,,NULL,
